airport_key,airport_ident,airport_name,departure_airport_code,airport_type,municipality,scheduled_service,region_code,country_code,has_navaid,navaid_count,navaid_count_bucket,navaid_type_group,dominant_usage_type,max_power
135,YYMI,Yam Island Airport,XMY,small_airport,Yam Island,yes,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
136,YSGE,St George Airport,SGO,small_airport,Unknown,yes,AU-QLD,AU,Y,1,1,NDB Family,BOTH,LOW
137,KDAL,Dallas Love Field,DAL,large_airport,Dallas,yes,US-TX,US,Y,1,1,NDB Family,TERMINAL,LOW
138,MWCB,Charles Kirkconnell International Airport,CYB,medium_airport,West End,yes,KY-CB,KY,Y,1,1,NDB Family,BOTH,MEDIUM
139,UNKNOWN,RAF Wildenrath,WID,Unknown,Unknown,unknown,UNKNOWN,DE,N,0,0,No Navaid,UNKNOWN,UNKNOWN
140,MMRX,General Lucio Blanco International Airport,REX,medium_airport,Reynosa,yes,MX-TAM,MX,Y,1,1,Radio Nav,BOTH,HIGH
141,AYWC,Wantoat Airport,WTT,small_airport,Wantoat,no,PG-MPL,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
142,LBSF,Sofia Airport,SOF,large_airport,Sofia,yes,BG-22,BG,Y,6,4+,Mixed,TERMINAL,HIGH
143,SNYW,Antônio Guerreiro Airport,GMS,small_airport,Guimarães,no,BR-MA,BR,N,0,0,No Navaid,UNKNOWN,UNKNOWN
144,KOWK,Central Maine/Norridgewock Airport,OWK,small_airport,Norridgewock,no,US-ME,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
145,KLSF,Lawson Army Air Field,LSF,medium_airport,Fort Benning,no,US-GA,US,Y,2,2-3,Mixed,TERMINAL,LOW
146,UEMU,Ust-Maya Airport,UMS,small_airport,Ust-Maya,yes,RU-SA,RU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
147,YDAY,Dalby Airport,DBY,small_airport,Unknown,no,AU-QLD,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
148,LZLU,Lučenec Airfield,LUE,small_airport,Lučenec,no,SK-BC,SK,N,0,0,No Navaid,UNKNOWN,UNKNOWN
149,VNMG,Meghauli Airport,MEY,small_airport,Meghauli,no,NP-P3,NP,N,0,0,No Navaid,UNKNOWN,UNKNOWN
150,PAFS,Nikolai Airport,NIB,small_airport,Nikolai,yes,US-AK,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
151,KBJI,Bemidji Regional Airport,BJI,medium_airport,Bemidji,no,US-MN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
152,WADB,Sultan Muhammad Salahuddin Airport,BMU,small_airport,"Palibelo, Bima",yes,ID-NB,ID,Y,2,2-3,Mixed,BOTH,HIGH
153,UNKNOWN,"Magdeburg ""City"" Airport",ZMG,Unknown,Unknown,unknown,UNKNOWN,DE,N,0,0,No Navaid,UNKNOWN,UNKNOWN
154,UNKNOWN,Tsletsi Airport,QDJ,Unknown,Unknown,unknown,UNKNOWN,DZ,N,0,0,No Navaid,UNKNOWN,UNKNOWN
155,YGTE,Groote Eylandt Airport,GTE,medium_airport,Groote Eylandt,yes,AU-NT,AU,Y,1,1,NDB Family,BOTH,MEDIUM
156,KSMN,Lemhi County Airport,SMN,medium_airport,Salmon,yes,US-ID,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
157,AYGV,Green River Airport,GVI,small_airport,Green River,no,PG-SAN,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
158,PAEN,Kenai Municipal Airport,ENA,medium_airport,Kenai,yes,US-AK,US,Y,2,2-3,Mixed,BOTH,HIGH
159,YMGR,Margaret River (Station) Airport,MGV,small_airport,Unknown,no,AU-WA,AU,N,0,0,No Navaid,UNKNOWN,UNKNOWN
160,KSPI,Abraham Lincoln Capital Airport,SPI,large_airport,Springfield,yes,US-IL,US,Y,3,2-3,Mixed,TERMINAL,HIGH
161,OIYY,Shahid Sadooghi Airport,AZD,medium_airport,Yazd,yes,IR-21,IR,Y,3,2-3,Mixed,BOTH,HIGH
162,FACC,Arathusa Safari Lodge Airport,ASS,small_airport,Arathusa,no,ZA-NP,ZA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
163,AYBI,Bewani Airport,BWP,small_airport,Bewani,no,PG-SAN,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
164,FBJW,Jwaneng Airport,JWA,medium_airport,Jwaneng,no,BW-JW,BW,Y,1,1,NDB Family,BOTH,MEDIUM
165,OETR,Turaif Domestic Airport,TUI,medium_airport,Turaif,yes,SA-08,SA,Y,1,1,Radio Nav,BOTH,HIGH
166,SENL,Nueva Loja Airport,LGQ,small_airport,Lago Agrio,no,EC-U,EC,Y,3,2-3,Mixed,LO,HIGH
167,65LA,Southern Seaplane Airport,BCS,small_airport,Belle Chasse,no,US-LA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
168,AYWH,Wanuma Airport,WNU,small_airport,Wanuma,no,PG-MPM,PG,N,0,0,No Navaid,UNKNOWN,UNKNOWN
169,UNKNOWN,Amchitka Army Airfield,AHT,Unknown,Unknown,unknown,UNKNOWN,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
170,SBAQ,Araraquara Airport,AQA,medium_airport,Araraquara,yes,BR-SP,BR,Y,1,1,NDB Family,BOTH,MEDIUM
171,KIWA,Mesa Gateway Airport,AZA,large_airport,Mesa,yes,US-AZ,US,Y,1,1,Radio Nav,LO,MEDIUM
172,SKOE,Orocue Airport,ORC,small_airport,Orocue,no,CO-CAS,CO,N,0,0,No Navaid,UNKNOWN,UNKNOWN
173,VEGK,Gorakhpur Airport,GOP,medium_airport,Gorakhpur,yes,IN-UP,IN,Y,1,1,NDB Family,BOTH,MEDIUM
174,KVAD,Moody Air Force Base,VAD,medium_airport,Valdosta,no,US-GA,US,Y,1,1,Radio Nav,TERMINAL,HIGH
175,BGST,Saattut Heliport,SAE,heliport,Saattut,yes,GL-AV,GL,N,0,0,No Navaid,UNKNOWN,UNKNOWN
176,UNKNOWN,Jubail Airport,QJB,Unknown,Unknown,unknown,UNKNOWN,SA,N,0,0,No Navaid,UNKNOWN,UNKNOWN
177,KL72,Trona Airport,TRH,small_airport,Trona,no,US-CA,US,N,0,0,No Navaid,UNKNOWN,UNKNOWN
178,FKKB,Kribi Airport,KBI,small_airport,Kribi,no,CM-SU,CM,Y,1,1,NDB Family,BOTH,MEDIUM
179,CCE4,Black Tickle Airport,YBI,small_airport,Black Tickle,yes,CA-NL,CA,Y,1,1,NDB Family,LO,LOW
180,VYPU,Pakhokku Airport,PKK,small_airport,Pakhokku,no,MM-03,MM,N,0,0,No Navaid,UNKNOWN,UNKNOWN
181,ZMKD,Khovd Airport,HVD,medium_airport,Khovd,yes,MN-043,MN,Y,1,1,NDB Family,BOTH,MEDIUM
182,ETNL,Rostock-Laage Airport,RLG,medium_airport,Laage,yes,DE-MV,DE,Y,1,1,Radio Nav,BOTH,HIGH
183,DAAY,Mecheria Airport,MZW,medium_airport,Mecheria,no,DZ-45,DZ,Y,1,1,NDB Family,BOTH,MEDIUM
184,CZAM,Shuswap Regional Airport,YSN,medium_airport,Salmon Arm,no,CA-BC,CA,Y,1,1,NDB Family,LO,LOW
185,RPVW,Borongan Airport,BPA,small_airport,Borongan City,no,PH-EAS,PH,N,0,0,No Navaid,UNKNOWN,UNKNOWN
186,TDCF,Canefield Airport,DCF,medium_airport,Canefield,yes,DM-10,DM,Y,1,1,NDB Family,LO,LOW
187,WAEE,Sultan Babullah Airport,TTE,medium_airport,Ternate,yes,ID-MU,ID,Y,1,1,NDB Family,BOTH,MEDIUM
188,SKBO,El Dorado International Airport,BOG,large_airport,Bogota,yes,CO-DC,CO,Y,6,4+,Mixed,BOTH,HIGH
189,SGOL,Aeródromo de Fuerte,OLK,small_airport,Fuerte Olimpo,no,PY-16,PY,N,0,0,No Navaid,UNKNOWN,UNKNOWN
190,CYGQ,Geraldton Greenstone Regional Airport,YGQ,medium_airport,Geraldton,no,CA-ON,CA,Y,2,2-3,Mixed,LO,HIGH
191,LLMZ,Bar Yehuda Airfield,MTZ,medium_airport,Masada,no,IL-D,IL,Y,1,1,Radio Nav,BOTH,HIGH
