date_key,full_date,day_of_month,month,month_name,quarter,year
77,2022-08-09,9,8,August,Q3,2022
78,2022-09-26,26,9,September,Q3,2022
79,2022-01-20,20,1,January,Q1,2022
80,2022-08-07,7,8,August,Q3,2022
81,2022-12-10,10,12,December,Q4,2022
82,2022-09-25,25,9,September,Q3,2022
83,2022-11-26,26,11,November,Q4,2022
84,2022-04-01,1,4,April,Q2,2022
85,2022-06-17,17,6,June,Q2,2022
86,2022-07-31,31,7,July,Q3,2022
87,2022-07-14,14,7,July,Q3,2022
88,2022-09-17,17,9,September,Q3,2022
89,2022-05-18,18,5,May,Q2,2022
90,2022-11-28,28,11,November,Q4,2022
91,2022-04-13,13,4,April,Q2,2022
92,2022-06-03,3,6,June,Q2,2022
93,2022-07-30,30,7,July,Q3,2022
94,2022-04-04,4,4,April,Q2,2022
95,2022-01-04,4,1,January,Q1,2022
96,2022-03-08,8,3,March,Q1,2022
97,2022-10-26,26,10,October,Q4,2022
98,2022-01-13,13,1,January,Q1,2022
99,2022-08-01,1,8,August,Q3,2022
100,2022-12-04,4,12,December,Q4,2022
101,2022-03-17,17,3,March,Q1,2022
102,2022-02-24,24,2,February,Q1,2022
103,2022-08-15,15,8,August,Q3,2022
104,2022-10-23,23,10,October,Q4,2022
105,2022-04-27,27,4,April,Q2,2022
106,2022-05-23,23,5,May,Q2,2022
107,2022-08-19,19,8,August,Q3,2022
108,2022-12-28,28,12,December,Q4,2022
109,2022-10-28,28,10,October,Q4,2022
110,2022-11-15,15,11,November,Q4,2022
111,2022-12-24,24,12,December,Q4,2022
112,2022-10-19,19,10,October,Q4,2022
113,2022-10-16,16,10,October,Q4,2022
114,2022-10-21,21,10,October,Q4,2022
115,2022-04-08,8,4,April,Q2,2022
116,2022-12-27,27,12,December,Q4,2022
117,2022-07-12,12,7,July,Q3,2022
118,2022-05-31,31,5,May,Q2,2022
119,2022-06-11,11,6,June,Q2,2022
120,2022-02-17,17,2,February,Q1,2022
121,2022-11-30,30,11,November,Q4,2022
122,2022-07-21,21,7,July,Q3,2022
123,2022-02-26,26,2,February,Q1,2022
124,2022-08-11,11,8,August,Q3,2022
125,2022-06-19,19,6,June,Q2,2022
126,2022-08-28,28,8,August,Q3,2022
127,2022-12-06,6,12,December,Q4,2022
128,2022-11-01,1,11,November,Q4,2022
129,2022-03-30,30,3,March,Q1,2022
130,2022-01-23,23,1,January,Q1,2022
131,2022-07-11,11,7,July,Q3,2022
132,2022-07-03,3,7,July,Q3,2022
133,2022-04-25,25,4,April,Q2,2022
134,2022-08-16,16,8,August,Q3,2022
135,2022-10-07,7,10,October,Q4,2022
136,2022-11-29,29,11,November,Q4,2022
137,2022-03-28,28,3,March,Q1,2022
138,2022-02-08,8,2,February,Q1,2022
139,2022-12-17,17,12,December,Q4,2022
140,2022-03-26,26,3,March,Q1,2022
141,2022-09-01,1,9,September,Q3,2022
142,2022-06-07,7,6,June,Q2,2022
143,2022-08-12,12,8,August,Q3,2022
144,2022-01-30,30,1,January,Q1,2022
145,2022-08-17,17,8,August,Q3,2022
146,2022-10-01,1,10,October,Q4,2022
147,2022-02-13,13,2,February,Q1,2022
148,2022-05-28,28,5,May,Q2,2022
149,2022-05-12,12,5,May,Q2,2022
150,2022-10-13,13,10,October,Q4,2022
151,2022-08-23,23,8,August,Q3,2022
152,2022-10-05,5,10,October,Q4,2022
153,2022-08-21,21,8,August,Q3,2022
154,2022-05-11,11,5,May,Q2,2022
155,2022-03-12,12,3,March,Q1,2022
156,2022-07-28,28,7,July,Q3,2022
157,2022-11-14,14,11,November,Q4,2022
158,2022-09-04,4,9,September,Q3,2022
159,2022-01-14,14,1,January,Q1,2022
160,2022-05-05,5,5,May,Q2,2022
161,2022-06-12,12,6,June,Q2,2022
162,2022-04-18,18,4,April,Q2,2022
163,2022-04-24,24,4,April,Q2,2022
164,2022-05-29,29,5,May,Q2,2022
165,2022-09-10,10,9,September,Q3,2022
166,2022-06-24,24,6,June,Q2,2022
167,2022-09-06,6,9,September,Q3,2022
168,2022-04-05,5,4,April,Q2,2022
169,2022-01-12,12,1,January,Q1,2022
170,2022-05-21,21,5,May,Q2,2022
171,2022-01-25,25,1,January,Q1,2022
172,2022-07-07,7,7,July,Q3,2022
173,2022-02-02,2,2,February,Q1,2022
174,2022-01-26,26,1,January,Q1,2022
175,2022-05-03,3,5,May,Q2,2022
176,2022-09-24,24,9,September,Q3,2022
177,2022-08-27,27,8,August,Q3,2022
178,2022-01-27,27,1,January,Q1,2022
179,2022-07-09,9,7,July,Q3,2022
180,2022-06-20,20,6,June,Q2,2022
181,2022-10-08,8,10,October,Q4,2022
182,2022-10-12,12,10,October,Q4,2022
183,2022-12-16,16,12,December,Q4,2022
184,2022-02-18,18,2,February,Q1,2022
185,2022-05-30,30,5,May,Q2,2022
186,2022-06-26,26,6,June,Q2,2022
187,2022-02-20,20,2,February,Q1,2022
188,2022-10-22,22,10,October,Q4,2022
189,2022-10-14,14,10,October,Q4,2022
190,2022-02-03,3,2,February,Q1,2022
191,2022-06-15,15,6,June,Q2,2022
192,2022-12-09,9,12,December,Q4,2022
193,2022-01-02,2,1,January,Q1,2022
194,2022-10-31,31,10,October,Q4,2022
195,2022-06-09,9,6,June,Q2,2022
196,2022-06-02,2,6,June,Q2,2022
197,2022-06-23,23,6,June,Q2,2022
198,2022-12-19,19,12,December,Q4,2022
199,2022-09-29,29,9,September,Q3,2022
200,2022-11-27,27,11,November,Q4,2022
201,2022-08-30,30,8,August,Q3,2022
202,2022-12-03,3,12,December,Q4,2022
203,2022-01-16,16,1,January,Q1,2022
204,2022-11-20,20,11,November,Q4,2022
205,2022-11-11,11,11,November,Q4,2022
206,2022-12-13,13,12,December,Q4,2022
207,2022-10-20,20,10,October,Q4,2022
208,2022-12-22,22,12,December,Q4,2022
209,2022-04-21,21,4,April,Q2,2022
210,2022-03-14,14,3,March,Q1,2022
211,2022-09-20,20,9,September,Q3,2022
212,2022-01-17,17,1,January,Q1,2022
213,2022-03-05,5,3,March,Q1,2022
214,2022-06-21,21,6,June,Q2,2022
215,2022-12-30,30,12,December,Q4,2022
216,2022-04-16,16,4,April,Q2,2022
217,2022-04-30,30,4,April,Q2,2022
218,2022-02-05,5,2,February,Q1,2022
219,2022-08-14,14,8,August,Q3,2022
220,2022-03-04,4,3,March,Q1,2022
221,2022-09-07,7,9,September,Q3,2022
222,2022-12-23,23,12,December,Q4,2022
223,2022-09-28,28,9,September,Q3,2022
224,2022-04-12,12,4,April,Q2,2022
225,2022-07-16,16,7,July,Q3,2022
226,2022-09-02,2,9,September,Q3,2022
227,2022-07-10,10,7,July,Q3,2022
228,2022-03-03,3,3,March,Q1,2022
229,2022-10-17,17,10,October,Q4,2022
230,2022-08-13,13,8,August,Q3,2022
231,2022-03-09,9,3,March,Q1,2022
232,2022-02-27,27,2,February,Q1,2022
233,2022-01-28,28,1,January,Q1,2022
234,2022-08-03,3,8,August,Q3,2022
235,2022-03-01,1,3,March,Q1,2022
236,2022-09-18,18,9,September,Q3,2022
237,2022-10-24,24,10,October,Q4,2022
238,2022-06-18,18,6,June,Q2,2022
239,2022-08-10,10,8,August,Q3,2022
240,2022-02-04,4,2,February,Q1,2022
241,2022-10-09,9,10,October,Q4,2022
242,2022-05-08,8,5,May,Q2,2022
243,2022-05-26,26,5,May,Q2,2022
244,2022-11-02,2,11,November,Q4,2022
245,2022-12-12,12,12,December,Q4,2022
246,2022-03-23,23,3,March,Q1,2022
247,2022-09-03,3,9,September,Q3,2022
248,2022-06-13,13,6,June,Q2,2022
249,2022-06-04,4,6,June,Q2,2022
250,2022-09-15,15,9,September,Q3,2022
251,2022-04-10,10,4,April,Q2,2022
252,2022-01-22,22,1,January,Q1,2022
253,2022-06-14,14,6,June,Q2,2022
254,2022-08-08,8,8,August,Q3,2022
255,2022-09-13,13,9,September,Q3,2022
256,2022-02-14,14,2,February,Q1,2022
257,2022-10-18,18,10,October,Q4,2022
258,2022-02-11,11,2,February,Q1,2022
259,2022-01-19,19,1,January,Q1,2022
260,2022-04-22,22,4,April,Q2,2022
261,2022-10-10,10,10,October,Q4,2022
262,2022-09-12,12,9,September,Q3,2022
263,2022-01-10,10,1,January,Q1,2022
264,2022-09-21,21,9,September,Q3,2022
265,2022-01-15,15,1,January,Q1,2022
266,2022-12-20,20,12,December,Q4,2022
267,2022-12-07,7,12,December,Q4,2022
268,2022-02-15,15,2,February,Q1,2022
269,2022-09-30,30,9,September,Q3,2022
270,2022-01-08,8,1,January,Q1,2022
271,2022-04-20,20,4,April,Q2,2022
272,2022-04-11,11,4,April,Q2,2022
273,2022-01-09,9,1,January,Q1,2022
274,2022-06-29,29,6,June,Q2,2022
275,2022-08-22,22,8,August,Q3,2022
276,2022-08-18,18,8,August,Q3,2022
277,2022-04-28,28,4,April,Q2,2022
278,2022-07-02,2,7,July,Q3,2022
279,2022-06-01,1,6,June,Q2,2022
280,2022-05-09,9,5,May,Q2,2022
281,2022-08-29,29,8,August,Q3,2022
282,2022-07-25,25,7,July,Q3,2022
283,2022-05-20,20,5,May,Q2,2022
284,2022-05-16,16,5,May,Q2,2022
285,2022-02-28,28,2,February,Q1,2022
286,2022-07-13,13,7,July,Q3,2022
287,2022-01-07,7,1,January,Q1,2022
288,2022-03-11,11,3,March,Q1,2022
289,2022-03-27,27,3,March,Q1,2022
290,2022-09-08,8,9,September,Q3,2022
291,2022-06-05,5,6,June,Q2,2022
292,2022-09-19,19,9,September,Q3,2022
293,2022-04-15,15,4,April,Q2,2022
294,2022-07-29,29,7,July,Q3,2022
295,2022-12-25,25,12,December,Q4,2022
296,2022-02-16,16,2,February,Q1,2022
297,2022-11-21,21,11,November,Q4,2022
298,2022-01-03,3,1,January,Q1,2022
299,2022-01-01,1,1,January,Q1,2022
300,2022-07-01,1,7,July,Q3,2022
301,2022-02-22,22,2,February,Q1,2022
302,2022-09-27,27,9,September,Q3,2022
303,2022-04-03,3,4,April,Q2,2022
304,2022-07-23,23,7,July,Q3,2022
305,2022-11-04,4,11,November,Q4,2022
306,2022-09-09,9,9,September,Q3,2022
307,2022-11-22,22,11,November,Q4,2022
308,2022-04-17,17,4,April,Q2,2022
309,2022-09-11,11,9,September,Q3,2022
310,2022-10-06,6,10,October,Q4,2022
311,2022-11-18,18,11,November,Q4,2022
312,2022-08-02,2,8,August,Q3,2022
313,2022-11-12,12,11,November,Q4,2022
314,2022-03-18,18,3,March,Q1,2022
315,2022-11-17,17,11,November,Q4,2022
316,2022-04-19,19,4,April,Q2,2022
317,2022-01-24,24,1,January,Q1,2022
318,2022-02-09,9,2,February,Q1,2022
319,2022-05-01,1,5,May,Q2,2022
320,2022-10-15,15,10,October,Q4,2022
321,2022-02-01,1,2,February,Q1,2022
322,2022-12-01,1,12,December,Q4,2022
323,2022-07-19,19,7,July,Q3,2022
324,2022-05-14,14,5,May,Q2,2022
325,2022-01-29,29,1,January,Q1,2022
326,2022-08-04,4,8,August,Q3,2022
327,2022-05-10,10,5,May,Q2,2022
328,2022-11-09,9,11,November,Q4,2022
329,2022-03-16,16,3,March,Q1,2022
330,2022-06-30,30,6,June,Q2,2022
331,2022-05-04,4,5,May,Q2,2022
332,2022-01-05,5,1,January,Q1,2022
333,2022-11-06,6,11,November,Q4,2022
334,2022-05-22,22,5,May,Q2,2022
335,2022-08-25,25,8,August,Q3,2022
336,2022-11-13,13,11,November,Q4,2022
337,2022-05-06,6,5,May,Q2,2022
338,2022-10-02,2,10,October,Q4,2022
339,2022-11-19,19,11,November,Q4,2022
340,2022-12-02,2,12,December,Q4,2022
341,2022-08-31,31,8,August,Q3,2022
342,2022-02-23,23,2,February,Q1,2022
343,2022-03-15,15,3,March,Q1,2022
344,2022-10-04,4,10,October,Q4,2022
345,2022-01-06,6,1,January,Q1,2022
346,2022-11-07,7,11,November,Q4,2022
347,2022-06-06,6,6,June,Q2,2022
348,2022-07-24,24,7,July,Q3,2022
349,2022-03-13,13,3,March,Q1,2022
350,2022-04-23,23,4,April,Q2,2022
351,2022-06-08,8,6,June,Q2,2022
352,2022-07-04,4,7,July,Q3,2022
353,2022-03-31,31,3,March,Q1,2022
354,2022-05-24,24,5,May,Q2,2022
355,2022-01-21,21,1,January,Q1,2022
356,2022-12-29,29,12,December,Q4,2022
357,2022-03-02,2,3,March,Q1,2022
358,2022-06-27,27,6,June,Q2,2022
359,2022-03-22,22,3,March,Q1,2022
360,2022-07-26,26,7,July,Q3,2022
361,2022-12-14,14,12,December,Q4,2022
362,2022-04-02,2,4,April,Q2,2022
363,2022-02-10,10,2,February,Q1,2022
364,2022-03-10,10,3,March,Q1,2022
