airport_ident,has_navaid,navaid_count,navaid_count_bucket,navaid_type_group,dominant_usage_type,max_power
AYKM,Y,1,1,NDB Family,BOTH,LOW
AYKV,Y,2,2-3,Mixed,BOTH,HIGH
AYMD,Y,2,2-3,Mixed,BOTH,HIGH
AYMH,Y,1,1,NDB Family,BOTH,LOW
AYMO,Y,1,1,NDB Family,BOTH,HIGH
AYMR,Y,1,1,NDB Family,BOTH,LOW
AYNZ,Y,2,2-3,Mixed,BOTH,HIGH
AYPY,Y,4,4+,Mixed,BOTH,LOW
AYTB,Y,1,1,NDB Family,BOTH,LOW
AYTK,Y,2,2-3,Mixed,BOTH,HIGH
AYVN,Y,1,1,NDB Family,BOTH,LOW
AYWK,Y,2,2-3,Mixed,BOTH,HIGH
BGAA,Y,2,2-3,Mixed,LO,LOW
BGBW,Y,2,2-3,Mixed,LO,HIGH
BGCO,Y,1,1,NDB Family,BOTH,LOW
BGGH,Y,4,4+,Mixed,BOTH,LOW
BGJN,Y,1,1,NDB Family,LO,LOW
BGKK,Y,1,1,NDB Family,BOTH,LOW
BGMQ,Y,2,2-3,Mixed,BOTH,LOW
BGQQ,Y,2,2-3,Mixed,TERMINAL,HIGH
BGSF,Y,1,1,NDB Family,BOTH,HIGH
BGSS,Y,2,2-3,Mixed,LO,LOW
BGTL,Y,1,1,Radio Nav,BOTH,HIGH
BGUK,Y,1,1,NDB Family,BOTH,MEDIUM
BGUQ,Y,2,2-3,Mixed,TERMINAL,LOW
BIAR,Y,6,4+,Mixed,TERMINAL,HIGH
BIBL,Y,1,1,NDB Family,BOTH,LOW
BIEG,Y,3,2-3,NDB Family,TERMINAL,MEDIUM
BIGJ,Y,1,1,NDB Family,TERMINAL,LOW
BIGR,Y,1,1,NDB Family,TERMINAL,LOW
BIHK,Y,1,1,NDB Family,TERMINAL,MEDIUM
BIHN,Y,2,2-3,NDB Family,BOTH,HIGH
BIHU,Y,1,1,NDB Family,BOTH,LOW
BIIS,Y,1,1,NDB Family,LO,LOW
BIKF,Y,3,2-3,Mixed,TERMINAL,HIGH
BIKR,Y,2,2-3,NDB Family,BOTH,MEDIUM
BINF,Y,1,1,NDB Family,BOTH,LOW
BIPA,Y,1,1,NDB Family,BOTH,LOW
BIRF,Y,1,1,NDB Family,TERMINAL,LOW
BIRG,Y,1,1,NDB Family,BOTH,LOW
BIRK,Y,3,2-3,NDB Family,BOTH,HIGH
BIRS,Y,1,1,NDB Family,BOTH,LOW
BISF,Y,1,1,NDB Family,TERMINAL,LOW
BIST,Y,1,1,NDB Family,BOTH,LOW
BITN,Y,1,1,NDB Family,BOTH,LOW
BIVM,Y,3,2-3,Mixed,LO,HIGH
BIVO,Y,1,1,NDB Family,BOTH,LOW
BR-1939,Y,1,1,NDB Family,BOTH,MEDIUM
BR-1959,Y,1,1,NDB Family,BOTH,MEDIUM
BR-1961,Y,1,1,NDB Family,LO,MEDIUM
BY-9935,Y,2,2-3,NDB Family,TERMINAL,HIGH
CA-1022,Y,1,1,NDB Family,LO,LOW
CA-1023,Y,1,1,NDB Family,LO,LOW
CA-1029,Y,2,2-3,Mixed,LO,LOW
CA-1043,Y,1,1,NDB Family,LO,MEDIUM
CA-1053,Y,1,1,NDB Family,LO,LOW
CA-1108,Y,2,2-3,Mixed,LO,HIGH
CA-1109,Y,1,1,NDB Family,BOTH,MEDIUM
CA-1110,Y,3,2-3,Mixed,BOTH,MEDIUM
CAJ3,Y,1,1,NDB Family,LO,MEDIUM
CAM5,Y,1,1,Radio Nav,BOTH,HIGH
CBH2,Y,1,1,NDB Family,LO,MEDIUM
CBX7,Y,1,1,NDB Family,LO,MEDIUM
CCA6,Y,1,1,NDB Family,LO,MEDIUM
CCC2,Y,1,1,NDB Family,LO,MEDIUM
CCD2,Y,1,1,NDB Family,LO,MEDIUM
CCD4,Y,1,1,NDB Family,LO,MEDIUM
CCE4,Y,1,1,NDB Family,LO,LOW
CCH4,Y,1,1,NDB Family,LO,LOW
CCN2,Y,1,1,NDB Family,LO,MEDIUM
CCP4,Y,1,1,NDB Family,LO,LOW
CCQ3,Y,1,1,NDB Family,LO,LOW
CD-0042,Y,2,2-3,Mixed,BOTH,HIGH
CDA4,Y,1,1,NDB Family,LO,MEDIUM
CDK2,Y,2,2-3,Mixed,LO,LOW
CDY3,Y,1,1,NDB Family,LO,MEDIUM
CEA3,Y,1,1,NDB Family,LO,LOW
CEB5,Y,1,1,NDB Family,LO,MEDIUM
CEC4,Y,2,2-3,Mixed,LO,LOW
CED4,Y,1,1,NDB Family,LO,LOW
CED5,Y,1,1,NDB Family,LO,LOW
CEE5,Y,1,1,NDB Family,LO,MEDIUM
CEG4,Y,1,1,NDB Family,LO,MEDIUM
CEH3,Y,1,1,NDB Family,LO,LOW
CEH6,Y,2,2-3,Mixed,LO,LOW
CEJ3,Y,1,1,NDB Family,LO,LOW
CEJ4,Y,1,1,NDB Family,LO,MEDIUM
CEJ6,Y,1,1,NDB Family,LO,LOW
CEL4,Y,1,1,NDB Family,LO,LOW
CEL5,Y,1,1,NDB Family,LO,LOW
CEM5,Y,1,1,NDB Family,LO,MEDIUM
CEN3,Y,1,1,NDB Family,LO,LOW
CEQ3,Y,3,2-3,Mixed,LO,MEDIUM
CER3,Y,1,1,NDB Family,LO,LOW
CES4,Y,1,1,NDB Family,LO,LOW
CEW3,Y,1,1,NDB Family,LO,MEDIUM
CEX3,Y,1,1,NDB Family,LO,MEDIUM
CEZ4,Y,1,1,NDB Family,LO,LOW
CFA7,Y,1,1,NDB Family,LO,MEDIUM
CFF4,Y,1,1,NDB Family,LO,MEDIUM
CFG3,Y,1,1,NDB Family,LO,MEDIUM
CFM4,Y,1,1,NDB Family,LO,LOW
CFN7,Y,1,1,NDB Family,LO,MEDIUM
CFP6,Y,1,1,NDB Family,LO,LOW
CFX4,Y,1,1,NDB Family,LO,MEDIUM
CFX6,Y,1,1,NDB Family,LO,LOW
CFY6,Y,1,1,NDB Family,LO,LOW
CJE3,Y,1,1,NDB Family,LO,MEDIUM
CJF3,Y,1,1,NDB Family,LO,MEDIUM
CJJ,Y,1,1,NDB Family,TERMINAL,LOW
CJK2,Y,1,1,NDB Family,LO,HIGH
CJL4,Y,1,1,NDB Family,LO,MEDIUM
CJN4,Y,1,1,NDB Family,LO,LOW
CJQ3,Y,1,1,NDB Family,LO,MEDIUM
CJQ4,Y,1,1,NDB Family,LO,LOW
CJS3,Y,1,1,NDB Family,LO,MEDIUM
CJS4,Y,1,1,NDB Family,LO,LOW
CJT3,Y,2,2-3,NDB Family,LO,LOW
CJT4,Y,1,1,NDB Family,LO,MEDIUM
CJU4,Y,1,1,NDB Family,LO,MEDIUM
CJW5,Y,1,1,NDB Family,LO,LOW
CJW7,Y,1,1,NDB Family,LO,MEDIUM
CJY3,Y,1,1,NDB Family,LO,MEDIUM
CJY4,Y,1,1,NDB Family,LO,MEDIUM
CJZ3,Y,1,1,NDB Family,LO,LOW
CKH2,Y,1,1,NDB Family,LO,MEDIUM
CKH8,Y,1,1,Radio Nav,BOTH,HIGH
CKM8,Y,1,1,NDB Family,LO,MEDIUM
CKQ8,Y,1,1,NDB Family,LO,LOW
CKV4,Y,1,1,NDB Family,LO,LOW
CL-0020,Y,1,1,NDB Family,LO,MEDIUM
CL-0021,Y,1,1,Radio Nav,LO,HIGH
CN-0164,Y,2,2-3,Radio Nav,BOTH,HIGH
CN-0443,Y,2,2-3,Mixed,BOTH,HIGH
CNE4,Y,1,1,NDB Family,LO,LOW
CNF4,Y,1,1,Radio Nav,BOTH,HIGH
CNK4,Y,1,1,NDB Family,LO,MEDIUM
CNU4,Y,1,1,NDB Family,LO,LOW
CO95,Y,1,1,Radio Nav,LO,MEDIUM
CSC3,Y,1,1,NDB Family,LO,LOW
CSD4,Y,1,1,NDB Family,LO,LOW
CSE3,Y,1,1,NDB Family,BOTH,LOW
CSH4,Y,1,1,NDB Family,BOTH,LOW
CSM3,Y,1,1,NDB Family,LO,LOW
CSR3,Y,1,1,NDB Family,LO,LOW
CSR8,Y,1,1,NDB Family,LO,LOW
CSZ4,Y,1,1,NDB Family,LO,LOW
CTG3,Y,1,1,NDB Family,LO,MEDIUM
CTP9,Y,2,2-3,Mixed,BOTH,HIGH
CTU2,Y,1,1,NDB Family,LO,LOW
CYAD,Y,1,1,NDB Family,LO,MEDIUM
CYAG,Y,1,1,NDB Family,LO,LOW
CYAH,Y,1,1,NDB Family,BOTH,MEDIUM
CYAM,Y,1,1,NDB Family,LO,LOW
CYAQ,Y,1,1,NDB Family,LO,LOW
CYAS,Y,1,1,NDB Family,LO,MEDIUM
CYAT,Y,1,1,NDB Family,BOTH,MEDIUM
CYAU,Y,1,1,NDB Family,LO,LOW
CYAW,Y,1,1,Radio Nav,BOTH,HIGH
CYAX,Y,1,1,NDB Family,LO,MEDIUM
CYAY,Y,2,2-3,Mixed,LO,LOW
CYAZ,Y,1,1,NDB Family,BOTH,MEDIUM
CYBC,Y,2,2-3,Mixed,LO,HIGH
CYBE,Y,1,1,NDB Family,BOTH,MEDIUM
CYBF,Y,2,2-3,Mixed,LO,LOW
CYBG,Y,2,2-3,Mixed,BOTH,HIGH
CYBK,Y,2,2-3,Mixed,LO,HIGH
CYBL,Y,2,2-3,Mixed,BOTH,LOW
CYBP,Y,1,1,NDB Family,LO,LOW
CYBQ,Y,1,1,NDB Family,LO,LOW
CYBR,Y,2,2-3,Mixed,LO,HIGH
CYBT,Y,1,1,NDB Family,LO,MEDIUM
CYBU,Y,1,1,NDB Family,LO,MEDIUM
CYBV,Y,1,1,NDB Family,LO,LOW
CYBX,Y,2,2-3,Mixed,LO,MEDIUM
CYCA,Y,1,1,NDB Family,LO,MEDIUM
CYCB,Y,2,2-3,Mixed,BOTH,HIGH
CYCC,Y,1,1,Radio Nav,BOTH,HIGH
CYCD,Y,2,2-3,Mixed,LO,MEDIUM
CYCG,Y,4,4+,Mixed,LO,MEDIUM
CYCH,Y,2,2-3,Mixed,LO,HIGH
CYCK,Y,1,1,NDB Family,LO,LOW
CYCL,Y,1,1,NDB Family,BOTH,MEDIUM
CYCO,Y,1,1,NDB Family,BOTH,MEDIUM
CYCQ,Y,1,1,NDB Family,LO,LOW
CYCR,Y,1,1,NDB Family,LO,MEDIUM
CYCS,Y,1,1,NDB Family,BOTH,LOW
CYCT,Y,1,1,NDB Family,LO,HIGH
CYCY,Y,1,1,NDB Family,LO,MEDIUM
CYCZ,Y,1,1,NDB Family,LO,LOW
CYDA,Y,1,1,NDB Family,LO,MEDIUM
CYDC,Y,2,2-3,Mixed,LO,HIGH
CYDF,Y,2,2-3,Mixed,LO,HIGH
CYDL,Y,1,1,NDB Family,BOTH,MEDIUM
CYDM,Y,1,1,NDB Family,BOTH,MEDIUM
CYDN,Y,2,2-3,Mixed,BOTH,HIGH
CYDO,Y,1,1,NDB Family,LO,LOW
CYDP,Y,1,1,NDB Family,BOTH,MEDIUM
CYEA,Y,1,1,Radio Nav,BOTH,HIGH
CYEE,Y,1,1,Radio Nav,BOTH,HIGH
CYEG,Y,5,4+,Mixed,TERMINAL,HIGH
CYEK,Y,1,1,NDB Family,BOTH,MEDIUM
CYEL,Y,1,1,NDB Family,LO,MEDIUM
CYEM,Y,1,1,NDB Family,LO,LOW
CYEN,Y,1,1,NDB Family,LO,MEDIUM
CYER,Y,1,1,NDB Family,BOTH,MEDIUM
CYET,Y,1,1,NDB Family,LO,LOW
CYEU,Y,1,1,NDB Family,BOTH,MEDIUM
CYEV,Y,3,2-3,Mixed,BOTH,HIGH
CYEY,Y,1,1,NDB Family,LO,LOW
CYFA,Y,1,1,NDB Family,BOTH,MEDIUM
CYFB,Y,3,2-3,Mixed,BOTH,HIGH
CYFC,Y,3,2-3,Mixed,BOTH,HIGH
CYFD,Y,1,1,NDB Family,LO,LOW
CYFE,Y,1,1,NDB Family,LO,MEDIUM
CYFO,Y,1,1,NDB Family,LO,MEDIUM
CYFR,Y,1,1,NDB Family,LO,MEDIUM
CYFS,Y,2,2-3,Mixed,BOTH,HIGH
CYGD,Y,1,1,NDB Family,LO,LOW
CYGH,Y,2,2-3,Mixed,BOTH,HIGH
CYGK,Y,1,1,NDB Family,LO,MEDIUM
CYGL,Y,2,2-3,Mixed,BOTH,HIGH
CYGM,Y,1,1,NDB Family,LO,LOW
CYGP,Y,2,2-3,Mixed,LO,HIGH
CYGQ,Y,2,2-3,Mixed,LO,HIGH
CYGR,Y,2,2-3,Mixed,LO,HIGH
CYGV,Y,2,2-3,Mixed,LO,MEDIUM
CYGW,Y,1,1,NDB Family,BOTH,MEDIUM
CYGX,Y,1,1,NDB Family,BOTH,MEDIUM
CYHA,Y,1,1,NDB Family,BOTH,LOW
CYHB,Y,1,1,NDB Family,LO,LOW
CYHD,Y,3,2-3,Mixed,BOTH,LOW
CYHE,Y,1,1,NDB Family,BOTH,MEDIUM
CYHH,Y,1,1,NDB Family,BOTH,MEDIUM
CYHI,Y,1,1,NDB Family,LO,MEDIUM
CYHK,Y,1,1,NDB Family,BOTH,MEDIUM
CYHM,Y,3,2-3,NDB Family,LO,LOW
CYHR,Y,2,2-3,Mixed,LO,MEDIUM
CYHS,Y,1,1,NDB Family,LO,LOW
CYHU,Y,1,1,NDB Family,LO,LOW
CYHY,Y,1,1,Radio Nav,BOTH,HIGH
CYHZ,Y,2,2-3,Radio Nav,LO,HIGH
CYIB,Y,1,1,NDB Family,BOTH,MEDIUM
CYID,Y,1,1,NDB Family,LO,LOW
CYIF,Y,2,2-3,Mixed,BOTH,MEDIUM
CYIK,Y,1,1,NDB Family,LO,LOW
CYIO,Y,1,1,NDB Family,BOTH,HIGH
CYIV,Y,2,2-3,Mixed,BOTH,MEDIUM
CYJN,Y,1,1,Radio Nav,BOTH,HIGH
CYJQ,Y,1,1,NDB Family,LO,LOW
CYJT,Y,3,2-3,Mixed,BOTH,HIGH
CYKA,Y,2,2-3,Mixed,BOTH,MEDIUM
CYKC,Y,1,1,NDB Family,LO,MEDIUM
CYKF,Y,2,2-3,Mixed,BOTH,HIGH
CYKG,Y,1,1,NDB Family,BOTH,HIGH
CYKJ,Y,1,1,NDB Family,LO,MEDIUM
CYKL,Y,3,2-3,Mixed,BOTH,HIGH
CYKM,Y,1,1,NDB Family,LO,LOW
CYKQ,Y,1,1,NDB Family,BOTH,MEDIUM
CYKX,Y,1,1,NDB Family,LO,LOW
CYKY,Y,1,1,NDB Family,LO,MEDIUM
CYLA,Y,1,1,NDB Family,LO,MEDIUM
CYLD,Y,1,1,NDB Family,LO,MEDIUM
CYLL,Y,2,2-3,Mixed,BOTH,MEDIUM
CYLQ,Y,1,1,NDB Family,BOTH,MEDIUM
CYLR,Y,1,1,NDB Family,LO,MEDIUM
CYLT,Y,2,2-3,Mixed,BOTH,HIGH
CYLW,Y,2,2-3,NDB Family,LO,MEDIUM
CYMA,Y,1,1,NDB Family,BOTH,MEDIUM
CYME,Y,1,1,NDB Family,LO,MEDIUM
CYMH,Y,1,1,NDB Family,BOTH,MEDIUM
CYMJ,Y,2,2-3,Mixed,BOTH,HIGH
CYML,Y,1,1,NDB Family,BOTH,MEDIUM
CYMM,Y,3,2-3,Mixed,BOTH,HIGH
CYMO,Y,2,2-3,Mixed,BOTH,HIGH
CYMT,Y,2,2-3,Mixed,BOTH,HIGH
CYMU,Y,1,1,NDB Family,LO,LOW
CYMW,Y,1,1,NDB Family,BOTH,MEDIUM
CYMX,Y,4,4+,Mixed,LO,HIGH
CYMY,Y,1,1,NDB Family,LO,LOW
CYNA,Y,2,2-3,Mixed,BOTH,HIGH
CYNC,Y,1,1,NDB Family,LO,LOW
CYNE,Y,2,2-3,Mixed,BOTH,MEDIUM
CYNL,Y,1,1,NDB Family,LO,MEDIUM
CYNM,Y,1,1,NDB Family,BOTH,MEDIUM
CYOA,Y,1,1,NDB Family,TERMINAL,MEDIUM
CYOC,Y,1,1,NDB Family,BOTH,MEDIUM
CYOD,Y,2,2-3,Mixed,BOTH,HIGH
CYOH,Y,1,1,NDB Family,LO,MEDIUM
CYOJ,Y,1,1,Radio Nav,BOTH,HIGH
CYOO,Y,2,2-3,Mixed,LO,LOW
CYOP,Y,1,1,Radio Nav,LO,LOW
CYOW,Y,4,4+,Mixed,BOTH,HIGH
CYPA,Y,3,2-3,Mixed,BOTH,HIGH
CYPC,Y,1,1,NDB Family,LO,MEDIUM
CYPE,Y,1,1,Radio Nav,BOTH,HIGH
CYPG,Y,2,2-3,Mixed,BOTH,HIGH
CYPH,Y,1,1,NDB Family,BOTH,MEDIUM
CYPK,Y,1,1,Radio Nav,LO,MEDIUM
CYPL,Y,2,2-3,Mixed,LO,MEDIUM
CYPN,Y,1,1,NDB Family,BOTH,MEDIUM
CYPO,Y,1,1,NDB Family,BOTH,MEDIUM
CYPP,Y,1,1,NDB Family,LO,MEDIUM
CYPQ,Y,1,1,NDB Family,LO,LOW
CYPR,Y,2,2-3,Mixed,LO,MEDIUM
CYPW,Y,2,2-3,Mixed,BOTH,LOW
CYPX,Y,2,2-3,Mixed,BOTH,MEDIUM
CYPY,Y,1,1,NDB Family,BOTH,MEDIUM
CYQB,Y,4,4+,Mixed,LO,HIGH
CYQD,Y,2,2-3,Mixed,BOTH,HIGH
CYQF,Y,2,2-3,Mixed,LO,LOW
CYQG,Y,2,2-3,NDB Family,BOTH,LOW
CYQH,Y,3,2-3,Mixed,BOTH,HIGH
CYQI,Y,3,2-3,Mixed,BOTH,HIGH
CYQK,Y,2,2-3,Mixed,BOTH,HIGH
CYQL,Y,2,2-3,Mixed,LO,HIGH
CYQM,Y,4,4+,Mixed,BOTH,HIGH
CYQN,Y,1,1,NDB Family,BOTH,MEDIUM
CYQQ,Y,2,2-3,Mixed,BOTH,HIGH
CYQR,Y,4,4+,NDB Family,LO,LOW
CYQS,Y,1,1,NDB Family,LO,HIGH
CYQT,Y,4,4+,Mixed,BOTH,HIGH
CYQU,Y,2,2-3,Mixed,BOTH,HIGH
CYQV,Y,1,1,Radio Nav,BOTH,HIGH
CYQW,Y,1,1,NDB Family,BOTH,LOW
CYQX,Y,3,2-3,Mixed,BOTH,HIGH
CYQY,Y,4,4+,Mixed,BOTH,HIGH
CYRB,Y,3,2-3,Mixed,BOTH,HIGH
CYRC,Y,1,1,NDB Family,UNKNOWN,UNKNOWN
CYRI,Y,2,2-3,Mixed,BOTH,HIGH
CYRJ,Y,2,2-3,Mixed,BOTH,MEDIUM
CYRL,Y,2,2-3,Mixed,BOTH,HIGH
CYRM,Y,1,1,Radio Nav,BOTH,HIGH
CYRQ,Y,1,1,NDB Family,LO,LOW
CYRS,Y,1,1,NDB Family,LO,LOW
CYRT,Y,2,2-3,Mixed,BOTH,HIGH
CYSB,Y,3,2-3,Mixed,BOTH,HIGH
CYSF,Y,1,1,NDB Family,BOTH,MEDIUM
CYSG,Y,1,1,Radio Nav,BOTH,HIGH
CYSJ,Y,3,2-3,Mixed,BOTH,HIGH
CYSM,Y,2,2-3,Mixed,BOTH,HIGH
CYSN,Y,1,1,NDB Family,UNKNOWN,UNKNOWN
CYSP,Y,1,1,Radio Nav,BOTH,HIGH
CYST,Y,1,1,NDB Family,LO,LOW
CYSU,Y,1,1,NDB Family,LO,MEDIUM
CYSW,Y,1,1,NDB Family,LO,MEDIUM
CYSY,Y,1,1,NDB Family,LO,MEDIUM
CYSZ,Y,1,1,NDB Family,LO,MEDIUM
CYTA,Y,1,1,NDB Family,LO,LOW
CYTE,Y,1,1,NDB Family,BOTH,MEDIUM
CYTF,Y,2,2-3,Mixed,BOTH,MEDIUM
CYTH,Y,4,4+,Mixed,LO,HIGH
CYTL,Y,1,1,NDB Family,BOTH,MEDIUM
CYTN,Y,1,1,NDB Family,LO,LOW
CYTQ,Y,1,1,NDB Family,LO,MEDIUM
CYTR,Y,3,2-3,Mixed,BOTH,HIGH
CYTS,Y,2,2-3,Mixed,BOTH,HIGH
CYTZ,Y,2,2-3,Mixed,LO,LOW
CYUB,Y,1,1,NDB Family,BOTH,MEDIUM
CYUL,Y,7,4+,Mixed,LO,HIGH
CYUT,Y,1,1,NDB Family,BOTH,MEDIUM
CYUX,Y,2,2-3,Mixed,BOTH,HIGH
CYUY,Y,2,2-3,Mixed,BOTH,MEDIUM
CYVC,Y,2,2-3,Mixed,BOTH,HIGH
CYVK,Y,1,1,NDB Family,LO,LOW
CYVM,Y,1,1,NDB Family,BOTH,MEDIUM
CYVO,Y,2,2-3,Mixed,LO,HIGH
CYVP,Y,1,1,Radio Nav,BOTH,HIGH
CYVQ,Y,2,2-3,Mixed,BOTH,HIGH
CYVR,Y,8,4+,Mixed,LO,HIGH
CYVV,Y,1,1,Radio Nav,BOTH,HIGH
CYWA,Y,1,1,NDB Family,LO,MEDIUM
CYWG,Y,6,4+,Mixed,TERMINAL,HIGH
CYWK,Y,2,2-3,Mixed,BOTH,HIGH
CYWL,Y,1,1,Radio Nav,BOTH,HIGH
CYWM,Y,1,1,NDB Family,LO,MEDIUM
CYWP,Y,1,1,NDB Family,LO,MEDIUM
CYXC,Y,3,2-3,Mixed,BOTH,HIGH
CYXE,Y,4,4+,Mixed,BOTH,HIGH
CYXH,Y,1,1,NDB Family,BOTH,LOW
CYXJ,Y,3,2-3,Mixed,UNKNOWN,LOW
CYXK,Y,1,1,NDB Family,LO,LOW
CYXL,Y,2,2-3,Mixed,BOTH,MEDIUM
CYXN,Y,1,1,NDB Family,BOTH,LOW
CYXP,Y,1,1,NDB Family,BOTH,MEDIUM
CYXQ,Y,1,1,NDB Family,LO,LOW
CYXS,Y,3,2-3,Mixed,BOTH,HIGH
CYXT,Y,3,2-3,NDB Family,LO,MEDIUM
CYXU,Y,1,1,Radio Nav,BOTH,HIGH
CYXX,Y,1,1,NDB Family,BOTH,MEDIUM
CYXY,Y,5,4+,Mixed,LO,HIGH
CYXZ,Y,2,2-3,Mixed,BOTH,HIGH
CYYB,Y,2,2-3,Mixed,BOTH,HIGH
CYYC,Y,4,4+,Mixed,BOTH,HIGH
CYYD,Y,1,1,NDB Family,LO,MEDIUM
CYYE,Y,2,2-3,Mixed,BOTH,HIGH
CYYF,Y,3,2-3,Mixed,BOTH,LOW
CYYG,Y,3,2-3,Mixed,BOTH,HIGH
CYYH,Y,1,1,NDB Family,BOTH,MEDIUM
CYYJ,Y,3,2-3,Mixed,BOTH,HIGH
CYYL,Y,2,2-3,Mixed,BOTH,HIGH
CYYN,Y,1,1,Radio Nav,BOTH,HIGH
CYYQ,Y,3,2-3,Mixed,BOTH,HIGH
CYYR,Y,3,2-3,Mixed,BOTH,HIGH
CYYT,Y,2,2-3,Radio Nav,UNKNOWN,HIGH
CYYU,Y,1,1,Radio Nav,BOTH,LOW
CYYW,Y,1,1,NDB Family,BOTH,MEDIUM
CYYY,Y,2,2-3,Mixed,BOTH,HIGH
CYYZ,Y,10,4+,Mixed,LO,HIGH
CYZF,Y,2,2-3,Mixed,BOTH,HIGH
CYZH,Y,1,1,Radio Nav,BOTH,LOW
CYZP,Y,1,1,Radio Nav,BOTH,HIGH
CYZS,Y,1,1,NDB Family,BOTH,MEDIUM
CYZT,Y,2,2-3,Mixed,BOTH,HIGH
CYZU,Y,1,1,Radio Nav,BOTH,HIGH
CYZV,Y,4,4+,Mixed,BOTH,HIGH
CYZX,Y,3,2-3,Mixed,BOTH,HIGH
CYZY,Y,1,1,NDB Family,LO,LOW
CZ-0268,Y,1,1,NDB Family,BOTH,HIGH
CZAC,Y,1,1,NDB Family,LO,MEDIUM
CZAM,Y,1,1,NDB Family,LO,LOW
CZBF,Y,2,2-3,Mixed,LO,MEDIUM
CZBM,Y,1,1,Radio Nav,BOTH,LOW
CZEE,Y,1,1,NDB Family,LO,LOW
CZEM,Y,1,1,NDB Family,LO,LOW
CZFA,Y,1,1,NDB Family,LO,MEDIUM
CZFG,Y,1,1,NDB Family,LO,MEDIUM
CZGF,Y,1,1,NDB Family,LO,LOW
CZGR,Y,1,1,NDB Family,LO,MEDIUM
CZHP,Y,1,1,NDB Family,BOTH,LOW
CZJG,Y,1,1,NDB Family,LO,MEDIUM
CZJN,Y,1,1,NDB Family,LO,LOW
CZML,Y,1,1,NDB Family,LO,MEDIUM
CZMT,Y,1,1,NDB Family,LO,MEDIUM
CZPC,Y,1,1,NDB Family,BOTH,LOW
CZRJ,Y,1,1,NDB Family,BOTH,LOW
CZSJ,Y,1,1,NDB Family,BOTH,MEDIUM
CZSN,Y,1,1,NDB Family,LO,LOW
CZTM,Y,1,1,NDB Family,LO,LOW
CZUM,Y,1,1,NDB Family,BOTH,MEDIUM
CZWH,Y,1,1,NDB Family,LO,LOW
DA14,Y,2,2-3,Mixed,BOTH,HIGH
DAAD,Y,2,2-3,Mixed,BOTH,HIGH
DAAE,Y,1,1,NDB Family,BOTH,LOW
DAAG,Y,4,4+,Mixed,BOTH,HIGH
DAAJ,Y,2,2-3,Mixed,BOTH,HIGH
DAAN,Y,1,1,NDB Family,BOTH,MEDIUM
DAAP,Y,1,1,Radio Nav,BOTH,HIGH
DAAT,Y,2,2-3,Mixed,BOTH,HIGH
DAAV,Y,1,1,Radio Nav,BOTH,HIGH
DAAY,Y,1,1,NDB Family,BOTH,MEDIUM
