navaid_id,filename,ident,navaid_name,navaid_type,iso_country,usage_type,power,associated_airport
85106,Summerside_NDB_CA,5B,Summerside,NDB,CA,LO,MEDIUM,CYSU
85107,Fox_Creek_NDB-DME_CA,5F,Fox Creek,NDB-DME,CA,LO,LOW,CED4
85108,Coronation_NDB_CA,5J,Coronation,NDB,CA,LO,HIGH,CYCT
85109,Donaldson_NDB_CA,5L,Donaldson,NDB,CA,BOTH,MEDIUM,CTP9
85110,Sparwood_NDB_CA,5M,Sparwood,NDB,CA,LO,MEDIUM,CYSW
85111,Gods_River_NDB_CA,5O,Gods River,NDB,CA,LO,LOW,CJT3
85112,Fontanges_NDB_CA,5Q,Fontanges,NDB,CA,LO,LOW,CTU2
85113,Fort_Vermilion_NDB-DME_CA,5U,Fort Vermilion,NDB-DME,CA,LO,LOW,CEZ4
85114,Drumheller_NDB-DME_CA,5V,Drumheller,NDB-DME,CA,LO,MEDIUM,CEG4
85115,Leaf_Rapids_NDB_CA,5W,Leaf Rapids,NDB,CA,LO,MEDIUM,CYLR
85116,Trenton_NDB_CA,5Y,Trenton,NDB,CA,LO,LOW,CYTN
85117,Grand_Manan_NDB_CA,6E,Grand Manan,NDB,CA,LO,MEDIUM,CCN2
85118,Port_Hope_Simpson_NDB_CA,6F,Port Hope Simpson,NDB,CA,LO,LOW,CCP4
85119,Red_Deer_DME_CA,6G,Red Deer,DME,CA,LO,LOW,CYQF
85120,Vernon_Bc_NDB_CA,6K,Vernon Bc,NDB,CA,LO,LOW,CYVK
85121,Belleville_NDB_CA,6M,Belleville,NDB,CA,LO,LOW,CNU4
85122,Cigar_Lake_NDB_CA,6Q,Cigar Lake,NDB,CA,LO,MEDIUM,CJW7
85123,York_Landing_NDB_CA,6X,York Landing,NDB,CA,LO,MEDIUM,CZAC
85124,La_Loche_NDB_CA,6Z,La Loche,NDB,CA,LO,MEDIUM,CJL4
85125,St_Thomas_NDB_CA,7B,St Thomas,NDB,CA,LO,HIGH,CYQS
85126,Fogo_NDB_CA,7C,Fogo,NDB,CA,LO,MEDIUM,CDY3
85127,Hudson_Bay_NDB_CA,7D,Hudson Bay,NDB,CA,LO,LOW,CYHB
85128,Collins_Bay_NDB_CA,7F,Collins Bay,NDB,CA,LO,MEDIUM,CYKC
85129,Marystown_NDB_CA,7H,Marystown,NDB,CA,LO,MEDIUM,CCC2
85130,Forestburg_NDB_CA,7J,Forestburg,NDB,CA,LO,LOW,CA-1023
85131,La_Sarre_NDB_CA,7L,La Sarre,NDB,CA,LO,LOW,CSR8
85132,Iroquois_Falls_NDB_CA,7P,Iroquois Falls,NDB,CA,LO,LOW,CNE4
85133,Jasper-Hinton_NDB_CA,7V,Jasper-Hinton,NDB,CA,LO,LOW,CEC4
85134,Carlyle_NDB_CA,8A,Carlyle,NDB,CA,LO,MEDIUM,CJQ3
85135,Fairview_NDB-DME_CA,8C,Fairview,NDB-DME,CA,LO,MEDIUM,CEB5
85136,Debert_NDB_CA,8F,Debert,NDB,CA,LO,LOW,CCQ3
85137,Stettler_NDB-DME_CA,8G,Stettler,NDB-DME,CA,LO,LOW,CEJ3
85138,St_Paul_NDB_CA,8H,St Paul,NDB,CA,LO,MEDIUM,CEW3
85139,Provost_NDB_CA,8J,Provost,NDB,CA,LO,LOW,CEH6
85140,Provost_DME_CA,8J,Provost,DME,CA,LO,LOW,CEH6
85141,Valleyview_NDB_CA,8K,Valleyview,NDB,CA,LO,LOW,CEL5
85142,Elk_Point_NDB-DME_CA,8M,Elk Point,NDB-DME,CA,LO,LOW,CEJ6
85143,Edson_NDB-DME_CA,8N,Edson,NDB-DME,CA,LO,LOW,CYET
85144,Hanna_NDB_CA,9A,Hanna,NDB,CA,LO,LOW,CEL4
85145,Sundre_NDB_CA,9G,Sundre,NDB,CA,LO,MEDIUM,CFN7
85146,La_Grande_3_NDB_CA,9H,La Grande 3,NDB,CA,LO,MEDIUM,CYAD
85147,Amos_NDB_CA,9Q,Amos,NDB,CA,LO,LOW,CYEY
85148,Powell_River_Bc_DME_CA,9S,Powell River Bc,DME,CA,BOTH,LOW,CYPW
85149,Brooks_NDB-DME_CA,9X,Brooks,NDB-DME,CA,LO,LOW,CYBP
85150,Pincher_Creek_NDB_CA,9Y,Pincher Creek,NDB,CA,BOTH,LOW,CZPC
85151,Westlock_NDB-DME_CA,9Z,Westlock,NDB-DME,CA,LO,LOW,CES4
85152,Baku_Bina_NDB_AZ,A,Baku/Bina,NDB,AZ,TERMINAL,LOW,
85154,Ministro_Pistarini_NDB_AR,A,Ministro Pistarini,NDB,AR,TERMINAL,LOW,
85155,Reconquista_NDB_AR,A,Reconquista,NDB,AR,TERMINAL,LOW,
85156,Tartagal_NDB_AR,A,Tartagal,NDB,AR,TERMINAL,LOW,
85157,Habana_NDB_CU,A,Habana,NDB,CU,TERMINAL,MEDIUM,
85158,Almaza_NDB_EG,A,Almaza,NDB,EG,TERMINAL,MEDIUM,HEAZ
85159,Budapest_NDB_HU,A,Budapest,NDB,HU,TERMINAL,LOW,
85160,Opera_NDB_HU,A,Opera,NDB,HU,TERMINAL,LOW,LHSN
85161,Almaty_NDB_KZ,A,Almaty,NDB,KZ,BOTH,MEDIUM,
85162,Baneasa_East_NDB_RO,A,Baneasa East,NDB,RO,BOTH,HIGH,
85163,Sheremetyevo_NDB_RU,A,Sheremetyevo,NDB,RU,TERMINAL,LOW,UUEE
85164,Kharkiv_NDB_UA,A,Kharkiv,NDB,UA,BOTH,HIGH,UKHH
85165,Zaporizhzhia_NDB_UA,A,Zaporizhzhia,NDB,UA,TERMINAL,LOW,
85166,Taltheilei_Narrows_NDB_CA,A1,Taltheilei Narrows,NDB,CA,LO,MEDIUM,CFA7
85167,Chinchaga_NDB_CA,A5,Chinchaga,NDB,CA,LO,LOW,CA-1022
85168,Liverpool_NDB_CA,A9,Liverpool,NDB,CA,LO,LOW,CYAU
85169,Auckland_VOR-DME_NZ,AA,Auckland,VOR-DME,NZ,BOTH,HIGH,NZAA
85170,Anaa_NDB_PF,AA,Anaa,NDB,PF,TERMINAL,MEDIUM,NTGA
85171,Accra_NDB_GH,AA,Accra,NDB,GH,TERMINAL,MEDIUM,DGAA
85172,Aasiaat_NDB_GL,AA,Aasiaat,NDB,GL,LO,LOW,BGAA
85173,Atambua_NDB_ID,AA,Atambua,NDB,ID,BOTH,MEDIUM,
85174,Aliabad_NDB_IR,AA,Aliabad,NDB,IR,BOTH,LOW,
85175,Abemama_NDB_KI,AA,Abemama,NDB,KI,BOTH,LOW,NGTB
85176,Aioun_El_Atrouss_NDB_MR,AA,Aioun El Atrouss,NDB,MR,BOTH,LOW,GQNA
85177,Madrid_NDB_ES,AA,Madrid,NDB,ES,TERMINAL,LOW,
85178,Kenie_NDB_US,AA,Kenie,NDB,US,TERMINAL,MEDIUM,KFAR
85179,Cedar_NDB_US,AA,Cedar,NDB,US,TERMINAL,LOW,
85180,Abraham_NDB_US,AAA,Abraham,NDB,US,TERMINAL,LOW,
85181,Ahmedabad_VOR-DME_IN,AAE,Ahmedabad,VOR-DME,IN,BOTH,HIGH,VAAH
85182,Apalachicola_NDB_US,AAF,Apalachicola,NDB,US,TERMINAL,LOW,
85183,Aalborg_TACAN_DK,AAL,Aalborg,TACAN,DK,BOTH,HIGH,EKYT
85184,Aalborg_VOR-DME_DK,AAL,Aalborg,VOR-DME,DK,RNAV,HIGH,EKYT
85185,Araraquara_NDB_BR,AAQ,Araraquara,NDB,BR,BOTH,MEDIUM,SBAQ
85186,Arar_VORTAC_SA,AAR,Arar,VORTAC,SA,BOTH,HIGH,OERR
85187,Amritsar_VOR-DME_IN,AAR,Amritsar,VOR-DME,IN,BOTH,HIGH,VIAR
85188,Agartala_VOR-DME_IN,AAT,Agartala,VOR-DME,IN,BOTH,HIGH,VEAT
85189,Aurangabad_VOR-DME_IN,AAU,Aurangabad,VOR-DME,IN,BOTH,HIGH,VAAU
85190,Ashland_NDB_US,AAU,Ashland,NDB,US,TERMINAL,LOW,
85191,Addis_Abeba_NDB_ET,AB,Addis Abeba,NDB,ET,BOTH,MEDIUM,HAAB
85192,Akraberg_NDB_FO,AB,Akraberg,NDB,FO,BOTH,HIGH,
85193,Atbasar_NDB_KZ,AB,Atbasar,NDB,KZ,BOTH,MEDIUM,
85194,Podkamennaya_Tunguska_NDB_RU,AB,Podkamennaya Tunguska,NDB,RU,TERMINAL,HIGH,
85195,Abakan_NDB_RU,AB,Abakan,NDB,RU,TERMINAL,HIGH,UNAA
85196,Abqaiq_NDB_SA,AB,Abqaiq,NDB,SA,BOTH,LOW,OEBQ
85197,Alexander_Bay_NDB_ZA,AB,Alexander Bay,NDB,ZA,BOTH,MEDIUM,FAAB
85198,Putny_NDB_US,AB,Putny,NDB,US,TERMINAL,LOW,KABY
85199,Tomhi_NDB_US,AB,Tomhi,NDB,US,TERMINAL,LOW,KABI
85200,Reney_NDB_US,AB,Reney,NDB,US,TERMINAL,LOW,KABR
85201,Leehi_NDB_US,AB,Leehi,NDB,US,TERMINAL,LOW,KABE
85202,Aruba_VOR-DME_AW,ABA,Aruba,VOR-DME,AW,BOTH,HIGH,TNCA
85203,Albany_NDB-DME_AU,ABA,Albany,NDB-DME,AU,BOTH,MEDIUM,YABA
85204,Nabb_VORTAC_US,ABB,Nabb,VORTAC,US,LO,MEDIUM,
85205,Abbeville_VOR-DME_FR,ABB,Abbeville,VOR-DME,FR,BOTH,HIGH,LFOI
85206,Abuja_VOR-DME_NG,ABC,Abuja,VOR-DME,NG,BOTH,MEDIUM,DNAA
85207,Abadan_VOR-DME_IR,ABD,Abadan,VOR-DME,IR,BOTH,HIGH,OIAA
85208,Abyad_NDB_SY,ABD,Abyad,NDB,SY,BOTH,HIGH,OSDI
85209,Ambassador_NDB_US,ABG,Ambassador,NDB,US,TERMINAL,LOW,1TX9
85210,Abha_VORTAC_SA,ABH,Abha,VORTAC,SA,BOTH,HIGH,OEAB
85211,Abilene_VORTAC_US,ABI,Abilene,VORTAC,US,BOTH,HIGH,KDYS
85212,Djibouti_Ambouli_TACAN_DJ,ABI,Djibouti/Ambouli,TACAN,DJ,BOTH,HIGH,HDAM
85213,Abakan_VOR-DME_RU,ABK,Abakan,VOR-DME,RU,BOTH,HIGH,UNAA
85214,Ambalema_NDB_CO,ABL,Ambalema,NDB,CO,BOTH,MEDIUM,
85215,Abumusa_Island_NDB_IR,ABM,Abumusa Island,NDB,IR,BOTH,LOW,OIBA
85216,Albenga_NDB_IT,ABN,Albenga,NDB,IT,BOTH,LOW,LIMG
85217,Albuquerque_VORTAC_US,ABQ,Albuquerque,VORTAC,US,BOTH,HIGH,
85218,Aberdeen_VOR-DME_US,ABR,Aberdeen,VOR-DME,US,BOTH,HIGH,
85219,Albacete_NDB_ES,ABT,Albacete,NDB,ES,LO,MEDIUM,LEAB
85220,Abu_Argub_VOR-DME_LY,ABU,Abu Argub,VOR-DME,LY,BOTH,HIGH,LY-0019
85221,Altenburg_NDB_DE,ABU,Altenburg,NDB,DE,TERMINAL,LOW,EDAC
85222,Alexander_Bay_VOR-DME_ZA,ABV,Alexander Bay,VOR-DME,ZA,BOTH,HIGH,FAAB
85223,Pleasant_Lake_NDB_CA,AC,Pleasant Lake,NDB,CA,LO,LOW,CYQI
85224,Coffi_NDB_US,AC,Coffi,NDB,US,TERMINAL,MEDIUM,KACT
85225,Waivs_NDB_US,AC,Waivs,NDB,US,TERMINAL,LOW,KACK
85226,Anloc_NDB_VN,AC,Anloc,NDB,VN,BOTH,MEDIUM,
85227,Acapulco_VOR-DME_MX,ACA,Acapulco,VOR-DME,MX,BOTH,HIGH,MMAA
85228,Accra_VOR-DME_GH,ACC,Accra,VOR-DME,GH,BOTH,HIGH,DGAA
85229,Alcobendas_NDB_ES,ACD,Alcobendas,NDB,ES,LO,LOW,LEMD
85230,Kachemak_NDB_US,ACE,Kachemak,NDB,US,LO,MEDIUM,PAHO
85231,Anton_Chico_VORTAC_US,ACH,Anton Chico,VORTAC,US,BOTH,HIGH,US-11921
85232,Aracaju_VOR-DME_BR,ACJ,Aracaju,VOR-DME,BR,BOTH,HIGH,SBAR
85233,Aracaju_NDB_BR,ACJ,Aracaju,NDB,BR,BOTH,MEDIUM,SBAR
85234,Nantucket_VOR-DME_US,ACK,Nantucket,VOR-DME,US,BOTH,HIGH,KACK
85235,Akron_VOR-DME_US,ACO,Akron,VOR-DME,US,LO,MEDIUM,
85236,Atico_NDB_PE,ACO,Atico,NDB,PE,BOTH,MEDIUM,
85237,Waseca_NDB_US,ACQ,Waseca,NDB,US,TERMINAL,LOW,
85238,Waco_VORTAC_US,ACT,Waco,VORTAC,US,BOTH,HIGH,
85239,Arcata_VOR-DME_US,ACV,Arcata,VOR-DME,US,LO,LOW,KACV
85240,Atlantic_City_VORTAC_US,ACY,Atlantic City,VORTAC,US,LO,MEDIUM,KACY
85241,Pendy_NDB_US,ACZ,Pendy,NDB,US,TERMINAL,LOW,
85242,Adelaide_VOR-DME_AU,AD,Adelaide,VOR-DME,AU,BOTH,HIGH,YPAD
85243,Abidjan_VOR-DME_CI,AD,Abidjan,VOR-DME,CI,BOTH,HIGH,DIAP
85244,Bateen_NDB_AE,AD,Bateen,NDB,AE,BOTH,HIGH,OMAD
85245,Adelaide (DECOMMISSIONED)_NDB_AU,AD,Adelaide (DECOMMISSIONED),NDB,AU,BOTH,HIGH,YPAD
85246,Rengat_NDB_ID,AD,Rengat,NDB,ID,BOTH,MEDIUM,WIBJ
85247,Anda_NDB_NO,AD,Anda,NDB,NO,TERMINAL,LOW,ENSD
85248,Sheremetyevo_NDB_RU,AD,Sheremetyevo,NDB,RU,TERMINAL,MEDIUM,UUEE
85249,Sochi_NDB_RU,AD,Sochi,NDB,RU,TERMINAL,MEDIUM,URSS
85250,Aldan_NDB_RU,AD,Aldan,NDB,RU,TERMINAL,HIGH,
85251,Ashgabat_NDB_TM,AD,Ashgabat,NDB,TM,TERMINAL,MEDIUM,UTAA
85252,Brons_NDB_US,AD,Brons,NDB,US,TERMINAL,MEDIUM,
85253,Andizhan_NDB_UZ,AD,Andizhan,NDB,UZ,BOTH,MEDIUM,
85254,Arandis_NDB_NA,AD,Arandis,NDB,NA,BOTH,MEDIUM,FYAR
85255,Aden_NDB_YE,AD,Aden,NDB,YE,BOTH,MEDIUM,OYAA
85256,Aldeia_VOR-DME_BR,ADA,Aldeia,VOR-DME,BR,BOTH,HIGH,SBES
85257,Adana_VOR-DME_TR,ADA,Adana,VOR-DME,TR,BOTH,HIGH,LTAF
85258,Aldeia_NDB_BR,ADA,Aldeia,NDB,BR,BOTH,MEDIUM,SBES
85259,Adana_NDB_TR,ADA,Adana,NDB,TR,BOTH,HIGH,LTAF
85260,Aguada_Grande_NDB_VE,ADA,Aguada Grande,NDB,VE,BOTH,MEDIUM,
85261,Arkadelphia_NDB_US,ADF,Arkadelphia,NDB,US,TERMINAL,LOW,
85262,Adrian_NDB_US,ADG,Adrian,NDB,US,TERMINAL,LOW,
85263,Ada_VOR-DME_US,ADH,Ada,VOR-DME,US,LO,LOW,
85264,Mount_Moffett_NDB-DME_US,ADK,Mount Moffett,NDB-DME,US,BOTH,MEDIUM,PADK
85265,Sochi_VOR-DME_RU,ADL,Sochi,VOR-DME,RU,BOTH,HIGH,URSS
85266,Ardmore_VORTAC_US,ADM,Ardmore,VORTAC,US,BOTH,HIGH,
85267,Agadir_VOR-DME_MA,ADM,Agadir,VOR-DME,MA,BOTH,HIGH,GMAD
85268,Roberto_VOR-DME_MX,ADN,Roberto,VOR-DME,MX,BOTH,HIGH,MMAN
85269,Aberdeen_VOR-DME_GB,ADN,Aberdeen,VOR-DME,GB,BOTH,HIGH,EGPD
85270,Puerto_Deseado_NDB_AR,ADO,Puerto Deseado,NDB,AR,LO,HIGH,SAWD
85271,Adrar_VOR-DME_DZ,ADR,Adrar,VOR-DME,DZ,BOTH,LOW,DAUA
85272,Adrar_NDB_DZ,ADR,Adrar,NDB,DZ,BOTH,MEDIUM,DAUA
85273,Addis_Abeba_VOR-DME_ET,ADS,Addis Abeba,VOR-DME,ET,BOTH,HIGH,HAAB
85274,Atwood_NDB_US,ADT,Atwood,NDB,US,TERMINAL,LOW,
85275,Audubon_NDB_US,ADU,Audubon,NDB,US,TERMINAL,LOW,
85276,Andrews_VORTAC_US,ADW,Andrews,VORTAC,US,LO,MEDIUM,KADW
85277,Andraitx_NDB_ES,ADX,Andraitx,NDB,ES,BOTH,LOW,
85278,Abeche_VOR_TD,AE,Abeche,VOR,TD,BOTH,HIGH,FTTC
85279,Dudle_NDB_US,AE,Dudle,NDB,US,TERMINAL,LOW,
85280,Jones_NDB_US,AEA,Jones,NDB,US,TERMINAL,LOW,
85281,Antlers_NDB_US,AEE,Antlers,NDB,US,TERMINAL,LOW,
85282,Albert_Lea_VOR-DME_US,AEL,Albert Lea,VOR-DME,US,TERMINAL,LOW,
85283,Nabesna_NDB_US,AES,Nabesna,NDB,US,LO,MEDIUM,PAOR
85284,Alexandria_VORTAC_US,AEX,Alexandria,VORTAC,US,BOTH,HIGH,
85285,Waverly_NDB_US,AEY,Waverly,NDB,US,TERMINAL,LOW,
85286,Archerfield_NDB_AU,AF,Archerfield,NDB,AU,BOTH,LOW,YBAF
85287,Watford_City_NDB_US,AFD,Watford City,NDB,US,TERMINAL,LOW,
85288,Kake_NDB-DME_US,AFE,Kake,NDB-DME,US,LO,LOW,PAFE
85289,Affligem_VOR-DME_BE,AFI,Affligem,VOR-DME,BE,TERMINAL,HIGH,EBBR
85290,Nebraska_City_NDB_US,AFK,Nebraska City,NDB,US,TERMINAL,LOW,
85291,Manas_TACAN_KG,AFM,Manas,TACAN,KG,BOTH,LOW,UAFM
85292,Afienou_NDB_CI,AFO,Afienou,NDB,CI,BOTH,MEDIUM,
85293,Anson_Co_NDB_US,AFP,Anson Co,NDB,US,TERMINAL,LOW,
85294,Afonsos_NDB_BR,AFS,Afonsos,NDB,BR,BOTH,MEDIUM,SBAF
85295,Aek_Godang_NDB_ID,AG,Aek Godang,NDB,ID,BOTH,MEDIUM,WIME
85296,Agra_NDB_IN,AG,Agra,NDB,IN,BOTH,HIGH,VIAG
85297,Abuja_NDB_NG,AG,Abuja,NDB,NG,TERMINAL,LOW,DNAA
85298,Agoy_NDB_RU,AG,Agoy,NDB,RU,BOTH,HIGH,
85299,Sembawang_NDB_SG,AG,Sembawang,NDB,SG,BOTH,LOW,WSAG
85300,Bushe_NDB_US,AG,Bushe,NDB,US,TERMINAL,LOW,KAGS
85301,Augsburg_NDB_DE,AGB,Augsburg,NDB,DE,BOTH,LOW,EDMA
85302,Allegheny_VOR-DME_US,AGC,Allegheny,VOR-DME,US,LO,MEDIUM,
85303,Altenburg_DME_DE,AGD,Altenburg,DME,DE,TERMINAL,LOW,EDAC
85304,Agra_VOR-DME_IN,AGG,Agra,VOR-DME,IN,BOTH,MEDIUM,VIAG
85305,Agalega_NDB_MU,AGG,Agalega,NDB,MU,BOTH,MEDIUM,
85306,Anchialos_VOR-DME_GR,AGH,Anchialos,VOR-DME,GR,BOTH,MEDIUM,LGBL
85307,Araguaina_NDB_BR,AGI,Araguaina,NDB,BR,BOTH,MEDIUM,SWGN
504648,Gooch Springs_VORTAC_US,AGJ,Gooch Springs,VORTAC,US,HI,HIGH,
85308,Agen_VOR-DME_FR,AGN,Agen,VOR-DME,FR,BOTH,HIGH,
85309,Alagoinhas_NDB_BR,AGN,Alagoinhas,NDB,BR,LO,MEDIUM,SBSV
85310,Aguascalientes_VOR-DME_MX,AGU,Aguascalientes,VOR-DME,MX,BOTH,HIGH,MMAS
85311,Monteagudo_NDB_BO,AGU,Monteagudo,NDB,BO,LO,MEDIUM,SLAG
85312,Aggeneys_VOR-DME_ZA,AGV,Aggeneys,VOR-DME,ZA,BOTH,HIGH,
85313,Acarigua_VOR-DME_VE,AGV,Acarigua,VOR-DME,VE,BOTH,HIGH,SVAC
85314,Acarigua_NDB_VE,AGV,Acarigua,NDB,VE,LO,MEDIUM,SVAC
85315,Ayaguz_VOR_KZ,AGZ,Ayaguz,VOR,KZ,BOTH,HIGH,
85316,Wagner_NDB_US,AGZ,Wagner,NDB,US,TERMINAL,LOW,
85317,Ahmedabad_NDB_IN,AH,Ahmedabad,NDB,IN,BOTH,HIGH,VAAH
85318,Antalaha_NDB_MG,AH,Antalaha,NDB,MG,BOTH,MEDIUM,FMNH
85319,Amedee_VOR-DME_US,AHC,Amedee,VOR-DME,US,TERMINAL,LOW,
85320,Ameron_NDB_US,AHH,Ameron,NDB,US,TERMINAL,LOW,
85321,Athens_VORTAC_US,AHN,Athens,VORTAC,US,BOTH,MEDIUM,KAHN
85322,Alghero_TACAN_IT,AHO,Alghero,TACAN,IT,BOTH,HIGH,LIEA
85323,Wahoo_NDB_US,AHQ,Wahoo,NDB,US,TERMINAL,LOW,
85324,Ashiya_TACAN_JP,AHT,Ashiya,TACAN,JP,BOTH,HIGH,RJFA
85325,Amchitka_NDB-DME_US,AHT,Amchitka,NDB-DME,US,BOTH,LOW,
85326,Athens_NDB_US,AHX,Athens,NDB,US,TERMINAL,LOW,
85327,Sao_Joao_NDB_BR,AI,Sao Joao,NDB,BR,BOTH,MEDIUM,
85328,Aitutaki_NDB_CK,AI,Aitutaki,NDB,CK,BOTH,HIGH,NCAI
85329,Akchi_NDB_KZ,AI,Akchi,NDB,KZ,BOTH,MEDIUM,
85330,Tura_NDB_RU,AI,Tura,NDB,RU,BOTH,HIGH,
85331,Video_NDB_US,AI,Video,NDB,US,TERMINAL,LOW,
85332,Addmo_NDB_US,AI,Addmo,NDB,US,LO,LOW,
85333,Alliance_VOR-DME_US,AIA,Alliance,VOR-DME,US,LO,MEDIUM,
85334,Antigo_NDB_US,AIG,Antigo,NDB,US,TERMINAL,LOW,
85335,Aiken_NDB_US,AIK,Aiken,NDB,US,TERMINAL,LOW,
85336,Al_Ain_NDB_AE,AIN,Al Ain,NDB,AE,BOTH,MEDIUM,OMAL
85337,Atlantic_NDB_US,AIO,Atlantic,NDB,US,LO,LOW,
85338,Bellaire_VOR-DME_US,AIR,Bellaire,VOR-DME,US,BOTH,HIGH,
85339,Aitkin_NDB_US,AIT,Aitkin,NDB,US,TERMINAL,LOW,
85340,Aliceville_NDB_US,AIV,Aliceville,NDB,US,LO,LOW,KAIV
85341,Nanwak_NDB-DME_US,AIX,Nanwak,NDB-DME,US,LO,MEDIUM,PAMY
